der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
das Hinweisschild, -er	information sign / інформаційна табличка | Ein Hinweisschild auf dem Gang zeigt den Weg zum IT-Support.
etw. löschen (löscht, löschte, hat gelöscht)	to extinguish (fire), to delete (data) / гасити (пожежу), видаляти (дані) | Du darfst diese wichtige Datenbank-Tabelle auf keinen Fall löschen!
der Notausgang, "-e	emergency exit / аварійний вихід | Der Notausgang ist durch ein leuchtend grünes Schild markiert.
die Pflicht, -en	duty, obligation / обов'язок | Es ist unsere Pflicht, den Code vor dem Release gründlich zu testen.
quadratisch	square / квадратний | Das UI-Icon für die neue App ist quadratisch mit abgerundeten Ecken.
das Rettungszeichen, -	rescue sign, emergency sign / знак евакуації/порятунку | Rettungszeichen sind meistens grün und rechteckig.
die Schutzausrüstung, -en	protective equipment / захисне спорядження | Beim Einbau von schweren Servern braucht man manchmal Schutzausrüstung.
die Schutzbrille, -n	safety goggles / захисні окуляри | Beim Löten der Hardware-Platinen muss man eine Schutzbrille tragen.
etw./jdn. schützen (schützt, schützte, hat geschützt)	to protect / захищати | Eine gut konfigurierte Firewall schützt unser internes Netzwerk vor Hackern.
der Schutzhelm, -e	safety helmet, hard hat / захисний шолом, каска | Auf der Baustelle für das neue Rechenzentrum ist ein Schutzhelm absolute Pflicht.
der Sicherheitshinweis, -e	safety instruction/warning / вказівка щодо безпеки | Bitte lesen Sie den Sicherheitshinweis, bevor Sie den Server aufschrauben.
der Sicherheitsschuh, -e	safety shoe / захисне взуття | Techniker tragen im Data Center oft Sicherheitsschuhe, falls Hardware herunterfällt.
die Sicherheitsvorschrift, -en	safety regulation / правило техніки безпеки | Das Mitbringen von privaten USB-Sticks verstößt gegen unsere Sicherheitsvorschriften.
die Stolpergefahr, -en	tripping hazard / небезпека спотикання | Offene Netzwerkkabel am Boden sind eine große Stolpergefahr im Büro.
die Straßenverkehrsordnung (Sg.)	traffic regulations / правила дорожнього руху | Die KI für autonome Autos muss die deutsche Straßenverkehrsordnung perfekt kennen.
das Verbotsschild, -er	prohibition sign / заборонний знак | Ein rotes Verbotsschild bedeutet, dass der Zutritt zum Serverraum für Unbefugte verboten ist.
das Verbotszeichen, -	prohibition sign / заборонний знак | Das Verbotszeichen zeigt an, dass man hier weder essen noch trinken darf.
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати | Wir müssen redundanten Code im Projekt unbedingt vermeiden (DRY-Prinzip).
die Verordnung, -en	regulation, decree / постанова, розпорядження | Die Datenschutz-Grundverordnung (DSGVO) ändert sehr viel für Software-Entwickler.
verpflichtet	obliged, bound / зобов'язаний | Wir sind vertraglich verpflichtet, alle Benutzerdaten sicher zu verschlüsseln.
etw. verstauen (verstaut, verstaute, hat verstaut)	to stow, to store / ховати, укладати, зберігати | Ich muss die vielen Kabel ordentlich im Rack verstauen.
das Warnzeichen, -	warning sign / попереджувальний знак | Ein Warnzeichen im Compiler zeigt an, dass dieser Code bald veraltet (deprecated) ist.
der Ablauf, "-e	process, sequence, flow / процес, хід подій | Wir müssen den Ablauf für das automatisierte Deployment (CI/CD) optimieren.
arbeitsunfähig	incapable of working, unfit for work / непрацездатний | Wegen einer starken Grippe bin ich diese Woche leider arbeitsunfähig.
ausrutschen (rutscht aus, rutschte aus, ist ausgerutscht)	to slip / посковзнутися | Pass auf, dass du auf dem nassen Boden in der Büroküche nicht ausrutschst.
die Berufsgenossenschaft, -en	employers' liability insurance association / профспілка страховиків від нещасних випадків на виробництві | Ein Arbeitsunfall muss sofort der Berufsgenossenschaft gemeldet werden.
beteiligt an (+ Dat.)	involved in / причетний до, бере участь у | An diesem großen IT-Projekt sind drei verschiedene Teams beteiligt.
das Detail, -s	detail / деталь, подробиця | Wir müssen noch ein kleines technisches Detail in der API-Dokumentation klären.
das Ereignis, -se	event, occurrence / подія | Das Log-System (wie ELK-Stack) zeichnet jedes wichtige Ereignis im System auf.
glatt	smooth, slippery / гладкий, слизький | Das neue Design der Benutzeroberfläche (UI) sieht sehr modern und glatt aus.
das Kabel, -	cable, wire / кабель, провід | Das Netzwerkkabel am Router ist leider defekt und muss getauscht werden.
sich (etw.) quetschen (quetscht sich, quetschte sich, hat sich gequetscht)	to squeeze, to bruise (oneself) / защемити (собі щось), прищемити | Er hat sich beim Einbauen des schweren Servers den Finger gequetscht.
Ruhe bewahren	to keep calm / зберігати спокій | Wenn der Produktions-Server abstürzt, müssen wir als DevOps-Team Ruhe bewahren.
rutschig	slippery / слизький | Vorsicht, der frisch gewischte Boden vor dem Büro ist sehr rutschig.
sachlich	factual, objective / об'єктивний, предметний | Die Diskussion beim Code Review sollte immer sachlich und professionell bleiben.
der Schaden, "-	damage, harm / шкода, збиток | Ein Hackerangriff kann einen enormen finanziellen Schaden verursachen.
etw. schildern (schildert, schilderte, hat geschildert)	to describe, to depict / описувати, змальовувати | Können Sie den Software-Fehler genauer schildern, damit ich ihn reproduzieren kann?
der Schlauch, "-e	hose, tube / шланг | Die Server-Wasserkühlung braucht dringend einen neuen Schlauch.
stolpern	to stumble, to trip / спотикатися | Jemand könnte über dieses herumliegende Stromkabel stolpern.
sich (etw.) verbrennen (verbrennt, verbrannte, hat verbrannt)	to burn (oneself) / обпектися | Die CPU wird unter Last extrem heiß, pass auf, dass du dich nicht verbrennst.
das Verhalten (Sg.)	behavior / поведінка | Wir analysieren das Verhalten der User auf unserer neuen Web-Plattform.
die Vorsichtsmaßnahme, -n	precaution, precautionary measure / запобіжний захід | Regelmäßige Backups in der Cloud sind eine sehr wichtige Vorsichtsmaßnahme.
der Zeuge, -n / die Zeugin, -nen	witness / свідок | Er war leider Zeuge des Arbeitsunfalls im Rechenzentrum.
etw. behaupten (behauptet, behauptete, hat behauptet)	to claim, to assert / стверджувати | Der Entwickler behauptet, dass dieser bug in der neuen Version bereits gefixt ist.
etw./jdn. beobachten	to observe, to monitor / спостерігати, стежити | Wir beobachten die Ladezeiten der App genau, um sie zu optimieren.
entscheidend	crucial, decisive / вирішальний | Eine saubere Software-Architektur ist entscheidend für den langfristigen Erfolg.
die Geldsorgen (Pl.)	money worries, financial problems / фінансові проблеми | Als gefragter Senior Developer in Deutschland hat man meistens keine Geldsorgen.
gemütlich	comfortable, cozy / затишний, комфортний | Unser neues IT-Büro hat eine sehr gemütliche Lounge für die Pausen.
die Geselligkeit (Sg.)	sociability, conviviality / товариськість, компанійність | Nach einem erfolgreichen Release pflegen wir die Geselligkeit bei einem Team-Event (Pizza & Bier).
das Grundbedürfnis, -se	basic need / базова потреба | Schnelles und stabiles Internet ist für Remote-Arbeit ein absolutes Grundbedürfnis.
die Partnerschaft, -en	partnership / партнерство | Unsere IT-Firma ist eine strategische Partnerschaft mit AWS eingegangen.
das Wohlbefinden (Sg.)	well-being / добробут, самопочуття | Das Wohlbefinden der Entwickler (z.B. durch gute Hardware) ist für das Startup wichtig.
die Zufriedenheit (Sg.)	satisfaction / задоволеність | Die Zufriedenheit der Kunden mit dem neuen Feature ist stark gestiegen.
der Arbeitsvertrag, "-e	employment contract / трудовий договір | Ich habe meinen neuen Arbeitsvertrag als Entwickler unterschrieben.
der Aushang, "-e	notice, poster / оголошення, афіша | Ich habe das Jobangebot für Software-Tester durch einen Aushang gefunden.
aussagekräftig	meaningful, expressive / змістовний, переконливий | Dein GitHub-Profil ist sehr aussagekräftig für deine Coding-Skills.
etw. beinhalten (beinhaltet, beinhaltete, hat beinhaltet)	to contain, to include / містити в собі, охоплювати | Das neue Software-Update wird viele Bugfixes beinhalten.
das BIZ (Berufsinformationszentrum) (Sg.)	career information center / центр профорієнтації | Das BIZ hilft auch Quereinsteigern beim Start in die IT.
die Chancengleichheit, -en	equal opportunity / рівні можливості | Chancengleichheit im Tech-Team ist unserem Unternehmen sehr wichtig.
etw. entwickeln (entwickelt, entwickelte, hat entwickelt)	to develop / розробляти | Wir entwickeln eine neue Cloud-Lösung für B2B-Kunden.
der (medizinische) Fortschritt (Sg.)	(medical) progress / (медичний) прогрес | Künstliche Intelligenz beschleunigt den medizinischen Fortschritt enorm.
ein inklusiver Arbeitsplatz	inclusive workplace / інклюзивне робоче місце | Unsere Tech-Firma fördert einen modernen und inklusiven Arbeitsplatz.
innovativ	innovative / інноваційний | Wir arbeiten an einer innovativen App-Architektur.
die Jobmesse, -n	job fair / ярмарок вакансій | Auf der IT-Jobmesse habe ich viele nützliche Kontakte geknüpft.
der Labormitarbeiter, - / die Labormitarbeiterin, -nen	laboratory worker / співробітник лабораторії | Der Labormitarbeiter testet die neue Hardware-Komponente.
die Messmethode, -n	measurement method / метод вимірювання | Wir nutzen eine neue Messmethode für die Server-Performance.
das Netzwerk, -e	network / мережа | Ein gutes Netzwerk auf LinkedIn ist wichtig für die Jobsuche.
die Online-Jobbörse, -n	online job board / онлайн-біржа праці | Ich suche auf einer Online-Jobbörse nach Remote-Jobs.
