die Abteilung, -en	department / відділ
der Berufsalltag (Sg.)	everyday working life / професійні будні
dank (+ Gen.)	thanks to / завдяки
der Einblick, -e	insight, glimpse / уявлення, ознайомлення
etw. erbringen (erbringt, erbrachte, hat erbracht)	to provide, to perform / надавати, виконувати
gültig	valid / дійсний
infolge (+ Gen.)	as a result of, due to / внаслідок, через
die Institution, -en	institution / установа, інституція
der Mindestlohn, "-e	minimum wage / мінімальна зарплата
der Minijob, -s	marginal employment, mini-job / мініджоб (робота на неповний день до певної суми)
der Praktikumsvertrag, "-e	internship contract / договір на проходження практики
der Renteneintritt (Sg.)	retirement / вихід на пенсію
der Teilzeitarbeitsvertrag, "-e	part-time employment contract / договір про неповний робочий час
etw. übersteigen (übersteigt, überstieg, hat überstiegen)	to exceed / перевищувати
unbefristet	permanent, unlimited / безстроковий
sich verpflichten zu (+ Dat.) (verpflichtet sich, verpflichtete sich, hat sich verpflichtet)	to commit oneself to / зобов'язуватися
wegen (+ Gen.)	because of / через
der Werkvertrag, "-e	contract for work/services / договір підряду
der Zeitaufwand (Sg.)	expenditure of time / витрати часу
die Abmahnung, -en	warning, reprimand / попередження, догана
der Arbeitskampf, "-e	labor dispute, strike / трудовий конфлікт, страйк
die Belegschaft, -en	workforce, staff / колектив, персонал
die Berufsgruppe, -n	occupational group / професійна група
bestehen aus (+ Dat.) (besteht, bestand, hat bestanden)	to consist of / складатися з
das Betriebsratsmitglied, -er	works council member / член виробничої ради
die Betriebsratswahl, -en	works council election / вибори виробничої ради
die Betriebsverlegung, -en	relocation of the company / перенесення підприємства (в інше місце)
die Betriebsversammlung, -en	works meeting, staff meeting / загальні збори працівників
die Elternzeit, -en	parental leave / декретна відпустка (для обох батьків)
das Erscheinen (Sg.)	appearance, attendance / присутність, явка
fair	fair / справедливий
die Geschäftsführung, -en	management, executive board / керівництво компанії, дирекція
die Gewerkschaft, -en	trade union / профспілка
das Gremium, Gremien	committee, board / комітет, комісія
die Interessenvertretung, -en	representation of interests / представництво інтересів
mitbestimmen (bestimmt mit, bestimmte mit, hat mitbestimmt)	to have a say, to co-determine / мати право голосу, брати участь у вирішенні
die Mitbestimmung, -en	co-determination, worker participation / участь працівників в управлінні
nachvollziehbar	comprehensible, understandable / зрозумілий, логічний
der Schritt, -e	step / крок
der Sozialplan, "-e	social compensation plan / соціальний план (при скороченнях)
der Tätigkeitsbericht, -e	activity report / звіт про діяльність
die Teilzeitkraft, "-e	part-time employee / працівник на неповний робочий день
etw. vergüten (vergütet, vergütete, hat vergütet)	to remunerate, to pay / оплачувати, винагороджувати
verhandeln (verhandelt, verhandelte, hat verhandelt)	to negotiate / вести переговори
etw. verhindern (verhindert, verhinderte, hat verhindert)	to prevent / запобігати, перешкоджати
etw. verlegen (verlegt, verlegte, hat verlegt)	to relocate, to misplace / переносити (в інше місце)
verständlich	understandable / зрозумілий
etw./jdn. vertreten (vertritt, vertrat, hat vertreten)	to represent, to replace / представляти, заміняти (когось)
die Werkhalle, -n	factory hall, workshop / цех, виробниче приміщення
die Abfindung, -en	severance pay / вихідна допомога
der Abfindungsanspruch, "-e	entitlement to severance pay / право на вихідну допомогу
die Alternative, -n	alternative / альтернатива
etw./jdn. anhören (hört an, hörte an, hat angehört)	to listen to, to hear / вислухати
die Anstellung, -en	employment / працевлаштування, посада
die Arbeitsagentur, -en	employment agency / центр зайнятості
das Arbeitsgericht, -e	labor court / суд у трудових справах
das Arbeitslosengeld, -er (ALG)	unemployment benefit / допомога по безробіттю
der Arbeitsplatzverlust (Sg.)	loss of job / втрата робочого місця
arbeitssuchend	looking for work, job-seeking / який шукає роботу
das Arbeitsverhältnis, -se	employment relationship / трудові відносини
ausgehen von (+ Dat.) (geht aus, ging aus, ist ausgegangen)	to assume, to expect / виходити з (припущення)
etw. auslagern (lagert aus, lagerte aus, hat ausgelagert)	to outsource / віддавати на аутсорс
etw. beanspruchen (beansprucht, beanspruchte, hat beansprucht)	to claim, to require / претендувати на, потребувати
die Berechnung, -en	calculation / розрахунок, обчислення
betriebsbedingt	for operational reasons / зумовлений виробничою необхідністю
etw. einbringen (z. B. Kenntnisse) (bringt ein, brachte ein, hat eingebracht)	to bring in, to contribute / робити внесок, привносити (напр., знання)
die Eingliederung, -en	integration, inclusion / інтеграція, включення (в колектив)
die Einhaltung (Sg.)	compliance, observance / дотримання
endgültig	final(ly), definitive(ly) / остаточний, остаточно
führen zu (+ Dat.) (führt, führte, hat geführt)	to lead to, to result in / призводити до
die Klage, -n	lawsuit, complaint / судовий позов, скарга
die Klagefrist, -en	deadline for filing a suit / термін подання позову
eine Klage einreichen (reicht ein, reichte ein, hat eingereicht)	to file a lawsuit / подати позов
eine Klage erheben (erhebt, erhob, hat erhoben)	to file a lawsuit, to sue / подати в суд, пред'явити позов
die Kündigungsfrist, -en	notice period / строк попередження про звільнення
das Kündigungsschreiben, -	notice of termination / лист про звільнення
möglicherweise	possibly / можливо
die Schließung, -en	closure / закриття
die Sperrzeit, -en	blocking period (for benefits) / період блокування (виплат)
der Umbruch, "-e	upheaval, radical change / перелом, радикальна зміна
sich verbessern	to improve / покращуватися
vermutlich	probably, presumably / ймовірно
der Verstoß, "-e	violation, breach / порушення
verstreichen (verstreicht, verstrich, ist verstrichen)	to elapse, to pass (time) / минати, спливати (про час)
wahrscheinlich	probably, likely / ймовірно, швидше за все
wegfallen (fällt weg, fiel weg, ist weggefallen)	to be dropped, to cease to exist / відпадати, скасовуватися
sich wehren gegen (+ Akk.) (wehrt sich, wehrte sich, hat sich gewehrt)	to defend oneself against / захищатися від
weiterhin	still, furthermore / і надалі, як і раніше
jdn. zwingen (zwingt, zwang, hat gezwungen)	to force, to compel / змушувати
die Abwesenheit, -en	absence / відсутність
die Altersgrenze, -n	age limit / вікове обмеження
die Arbeitsunfähigkeit (Sg.)	inability to work, incapacity for work / непрацездатність
die Arbeitsunfähigkeitsbescheinigung, -en	sick note, medical certificate / довідка про непрацездатність (лікарняний)
die Arbeitsvergütung, -en	remuneration, pay / оплата праці
das Arbeitsverhältnis, -se	employment relationship / трудові відносини
etw. beeinträchtigen (beeinträchtigt, beeinträchtigte, hat beeinträchtigt)	to affect, to impair / шкодити, негативно впливати
die Bruttovergütung, -en	gross remuneration / оплата брутто (до відрахування податків)
jdn. einstellen (stellt ein, stellte ein, hat eingestellt)	to hire, to employ / наймати на роботу
die Einwilligung erteilen (erteilt, erteilte, hat erteilt)	to give consent / давати згоду
die Entgeltfortzahlung, -en	continued payment of wages (during illness) / збереження заробітної плати (під час хвороби)
etw. erreichen (erreicht, erreichte, hat erreicht)	to achieve, to reach / досягати
das Geheimnis, -se	secret / таємниця, секрет
das Geschäftsgeheimnis, -se	trade secret / комерційна таємниця
gesetzlich	legal, statutory / встановлений законом
gesondert	separate(ly) / окремо
jdm. etw. gewähren (gewährt, gewährte, hat gewährt)	to grant sb. sth. / надавати (дозвіл, доступ)
die Kernarbeitszeit, -en	core working hours / основний робочий час (обов'язкова присутність)
der Mindesturlaub (Sg.)	minimum vacation / мінімальна відпустка
die Nebentätigkeit, -en	secondary employment, side job / додаткова робота, підробіток
der Paragraf, -en	paragraph, section / параграф, пункт (договору)
die Probezeit, -en	probationary period / випробувальний термін
das Stillschweigen (Sg.)	silence, confidentiality / мовчання, конфіденційність
Stillschweigen bewahren (bewahrt, bewahrte, hat bewahrt)	to maintain silence/confidentiality / зберігати мовчання / таємницю
etw. verlangen	to demand, to require / вимагати
die Verschwiegenheitspflicht (Sg.)	duty of confidentiality (NDA) / обов'язок зберігати конфіденційність (NDA)
verstoßen gegen (+ Akk.) (verstößt, verstieß, hat verstoßen)	to violate / порушувати
das Weihnachtsgeld (Sg.)	Christmas bonus / різдвяна премія
der Anlass, "-e	occasion, reason / привід, нагода
ausdrücklich	explicit(ly) / явно, категорично
die Ausnahme, -n	exception / виняток
der Bürgersteig, -e	pavement, sidewalk / тротуар
etw. entfernen (entfernt, entfernte, hat entfernt)	to remove / видаляти, усувати
etw. erhalten (erhält, erhielt, hat erhalten)	to preserve, to maintain, to receive / зберігати, підтримувати, отримувати
etw. erlauben (erlaubt, erlaubte, hat erlaubt)	to allow, to permit / дозволяти
der Gemeinschaftsraum, "-e	common room, lounge / кімната відпочинку (для всіх)
etw. gestatten (gestattet, gestattete, hat gestattet)	to permit, to allow / дозволяти
grundsätzlich	fundamentally, in principle / в принципі, принципово
die Hausordnung, -en	house rules / правила внутрішнього розпорядку
herumlaufen (läuft herum, lief herum, ist herumgelaufen)	to walk around / бігати/ходити навколо
die Holzkohle, -n	charcoal / деревне вугілля
die Pflicht, -en	duty, obligation / обов'язок
Rechte und Pflichten (Pl.)	rights and duties / права та обов'язки
die Rücksicht (Sg.)	consideration, thoughtfulness / повага, увага (до інших)
Rücksicht nehmen auf (+ Akk.) (nimmt, nahm, hat genommen)	to be considerate of / зважати на, з повагою ставитися до
rücksichtsvoll	considerate, thoughtful / уважний, тактовний
sich wohlfühlen (fühlt sich wohl, fühlte sich wohl, hat sich wohlgefühlt)	to feel comfortable / почуватися добре / комфортно
die Tierhaltung (Sg.)	keeping of animals / утримання тварин
umgehend	immediately, promptly / негайно
jdm. etw. untersagen (untersagt, untersagte, hat untersagt)	to prohibit, to forbid / забороняти
die Verunreinigung, -en	contamination, pollution / забруднення
der Zugangsweg, -e	access path, entrance / шлях доступу
der Zustand, "-e	condition, state / стан
die Zustimmung (Sg.)	approval, consent / згода, схвалення
etw./jdn. absichern (sichert ab, sicherte ab, hat abgesichert)	to secure, to insure / забезпечувати, страхувати
die Absicherung, -en	security, safeguard, insurance / забезпечення, гарантія
angewiesen auf (+ Akk.)	dependent on / залежний від
der Anspruch, "-e	claim, right / претензія, право
das Arbeitslosengeld (Sg.)	unemployment benefit / допомога по безробіттю
die Arbeitslosenversicherung, -en	unemployment insurance / страхування на випадок безробіття
der Ausgleich (Sg.)	balance, compensation / баланс, компенсація
der Beamte, -n / die Beamtin, -nen	civil servant / державний службовець
etw. beantragen (beantragt, beantragte, hat beantragt)	to apply for / подавати заяву на
sich begeben (begibt sich, begab sich, hat sich begeben)	to go, to proceed / відправлятися, йти
die Beihilfe, -n	aid, subsidy / допомога, субсидія
die Betriebsrente, -n	company pension / корпоративна пенсія
etw. bewilligen (bewilligt, bewilligte, hat bewilligt)	to approve, to grant / затверджувати, давати дозвіл
der Bürger, - / die Bürgerin, -nen	citizen / громадянин
das Elterngeld (Sg.)	parental allowance / допомога на дитину (для батьків у декреті)
das Existenzminimum (Sg.)	subsistence level / прожитковий мінімум
die Grundsicherung (Sg.)	basic social security / базове соціальне забезпечення
der Jahresverdienst, -e	annual earnings / річний дохід
das Kindergeld (Sg.)	child benefit / допомога на дитину
das Krankengeld (Sg.)	sick pay / допомога по хворобі
die Krankenversicherung, -en	health insurance / медичне страхування
die Leistung, -en	performance, benefit / продуктивність, виплата
das Nettoeinkommen, -	net income / чистий дохід (нетто)
oberhalb (+ Gen.)	above / вище, над
die Pension, -en	pension (for civil servants) / пенсія (для держслужбовців)
das Pflegegeld (Sg.)	long-term care allowance / допомога по догляду
die Pflegeversicherung, -en	long-term care insurance / страхування на випадок потреби в догляді
die Pflichtversicherung, -en	compulsory insurance / обов'язкове страхування
die Rente, -n	pension / пенсія
das Rentenalter (Sg.)	retirement age / пенсійний вік
die Rentenversicherung, -en	pension insurance / пенсійне страхування
der Sonderstatus (Sg.)	special status / особливий статус
sozial	social / соціальний
die Sozialhilfe (Sg.)	social assistance, welfare / соціальна допомога
der Sozialstaat, -en	welfare state / соціальна держава
die Sozialversicherung, -en	social security / соціальне страхування
unterhalb (+ Gen.)	below / нижче, під
etw. vorlegen	to submit, to present / надавати, пред'являти
das Wohngeld (Sg.)	housing allowance / допомога на оплату житла
die Abgabe, -n	tax, duty, submission / податок, збір, здача
alleinerziehend	single parent / який виховує дитину сам
der Arbeitgeberanteil (Sg.)	employer's contribution / частка роботодавця (у страхуванні)
ausmachen	to amount to, to turn off / складати (суму), вимикати
der Auszahlungsbetrag, "-e	payout amount, net amount / сума до виплати
der Beitrag, "-e	contribution, post / внесок, стаття
die Einkommensteuer, -n	income tax / прибутковий податок
die Erwerbstätigkeit, -en	employment, gainful occupation / трудова діяльність, зайнятість
evangelisch	Protestant, Evangelical / євангельський, протестантський
die Gehaltsabrechnung, -en	payslip / розрахунковий листок
die Gemeinde, -n	municipality, community / громада, муніципалітет
gleichgeschlechtlich	same-sex / одностатевий
jüdisch	Jewish / єврейський
katholisch	Catholic / католицький
die Kirchensteuer, -n	church tax / церковний податок
etw. kombinieren (kombiniert, kombinierte, hat kombiniert)	to combine / комбінувати, поєднувати
die Lebensgemeinschaft, -en	partnership, cohabitation / спільне проживання, партнерство
die Lohnsteuer, -n	wage tax, income tax (on wages) / податок із заробітної плати
die Sozialabgaben (Pl.)	social security contributions / соціальні відрахування
die Sozialversicherungsnummer, -n	social security number / номер соціального страхування
die Steuer, -n	tax / податок
die Steueridentifikationsnummer, -n	tax identification number / ідентифікаційний податковий номер (ІПН)
die Steuerklasse, -n	tax bracket, tax class / податковий клас
etw. variieren (variiert, variierte, hat variiert)	to vary / варіювати, змінювати
vermögenswirksame Leistungen (Pl.)	capital-forming benefits / накопичувальні пільги (від роботодавця)
der Zweitjob, -s	second job / друга робота, підробіток
absehbar	foreseeable / передбачуваний
die Abwesenheit (Sg.)	absence / відсутність
ansteckend	contagious / заразний, інфекційний
arbeitsfähig	fit for work, able to work / працездатний
erkranken (erkrankt, erkrankte, ist erkrankt)	to fall ill / захворіти
die Erkrankung, -en	illness, disease / хвороба, захворювання
der Herzinfarkt, -e	heart attack / інфаркт
die Impfung, -en	vaccination / щеплення
die Infektionskrankheit, -en	infectious disease / інфекційна хвороба
jdn. krankschreiben (schreibt krank, schrieb krank, hat krankgeschrieben)	to put someone on sick leave / виписати лікарняний
die Krankmeldung, -en	sick note, notification of illness / повідомлення про хворобу, лікарняний
der Kündigungsgrund, "-e	reason for termination / причина звільнення
etw. nachholen (holt nach, holte nach, hat nachgeholt)	to catch up on, to make up for / надолужувати
der Notfall, "-e	emergency / екстрений випадок, надзвичайна ситуація
der Orthopäde, -n / die Orthopädin, -nen	orthopedist / ортопед
etw. rechtfertigen (rechtfertigt, rechtfertigte, hat gerechtfertigt)	to justify / виправдовувати, обґрунтовувати
soeben	just now / щойно, тільки-но
die Vertretung, -en	representation, substitute / заміна, представництво
voraussichtlich	expected, probable / ймовірно, очікується
die Vorsorgeuntersuchung, -en	preventive medical checkup / профілактичний огляд
etw. weiterleiten (leitet weiter, leitete weiter, hat weitergeleitet)	to forward / пересилати, перенаправляти
etw. abmildern (mildert ab, milderte ab, hat abgemildert)	to soften, to mitigate / пом'якшувати, зменшувати
der Angehörige, -n / die Angehörige, -n	relative / родич
Anspruch haben auf (+ Akk.)	to be entitled to, to have a right to / мати право на
ausschließlich	exclusively, only / виключно
etw./jdn. bedenken (bedenkt, bedachte, hat bedacht)	to consider, to think about / враховувати, обмірковувати
der Berufswiedereinstieg (Sg.)	return to work (after a break) / повернення до професійної діяльності
die Betreuungsmöglichkeit, -en	childcare option / можливість догляду (за дітьми)
die Elternzeit (Sg.)	parental leave / відпустка по догляду за дитиною
jdn. freistellen (stellt frei, stellte frei, hat freigestellt)	to exempt, to release (from work) / звільнити (від роботи)
die Freistellung, -en	exemption, release from duty / звільнення від виконання обов'язків
das Homeoffice (Sg.)	home office, working from home / робота з дому
der Kündigungsschutz (Sg.)	protection against dismissal / захист від звільнення
die Lohnersatzleistung, -en	wage replacement benefit / допомога, що замінює заробітну плату
pflegebedürftig	in need of care / такий, що потребує догляду
die Pflegekasse (Sg.)	long-term care insurance fund / каса страхування по догляду
die Pflegezeit, -en	care leave / відпустка для догляду за родичем
rechnen mit (+ Dat.) (rechnet, rechnete, hat gerechnet)	to expect, to count on / очікувати, розраховувати на
der Rechtsanspruch, "-e	legal right, legal claim / юридичне право
die Tagesmutter, "-	childminder, nanny / няня (яка доглядає вдень)
die Wechselschicht, -en	rotating shift / позмінна робота
zinslos	interest-free / безвідсотковий
sich zurechtfinden (findet sich zurecht, fand sich zurecht, hat sich zurechtgefunden)	to find one's way around / орієнтуватися, розбиратися
der Zusammenhang, "-e	connection, context / зв'язок, контекст
der Arbeitgeberverband, "-e	employers' association / спілка роботодавців
etw. auflisten (listet auf, listete auf, hat aufgelistet)	to list / перераховувати, складати список
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt)	to negotiate / домовлятися, вести переговори
das Einkommensniveau, -s	income level / рівень доходів
die Einkünfte (Pl.)	income, earnings / доходи
das Gefühl, -e	feeling / почуття, відчуття
der Gehaltsvergleich, -e	salary comparison / порівняння зарплат
die Geldanlage, -n	financial investment / грошовий вклад, інвестиція
generell	general(ly), in general / загалом, в основному
etw. herausfinden (findet heraus, fand heraus, hat herausgefunden)	to find out / з'ясувати, дізнатися
luxuriös	luxurious / розкішний
peinlich	embarrassing / соромно, незручно
etw. preisgeben (gibt preis, gab preis, hat preisgegeben)	to reveal, to disclose / розголошувати, видавати
stammen aus (+ Dat.) (stammt, stammte, hat gestammt)	to come from, to originate from / походити з
das Statussymbol, -e	status symbol / символ статусу
die Steuererklärung, -en	tax return / податкова декларація
der Tarifvertrag, "-e	collective labor agreement / тарифний договір
die Übersicht, -en	overview / огляд, загальна картина
üblich	usual, common / звичайний, прийнятий
umgehen mit (+ Dat.) (geht um, ging um, ist umgegangen)	to deal with, to handle / поводитися з, обходитися
ungeeignet	unsuitable / непридатний
ungerechtfertigt	unjustified / необґрунтований
vorherrschen (herrscht vor, herrschte vor, hat vorgeherrscht)	to prevail, to predominate / переважати, панувати
