#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
etw. umfassen (umfasst, umfasste, hat umfasst);umfassen;to include, to comprise;охоплювати, включати;Das neue Software-Update wird viele coole Features umfassen.
etw./jdn. vertreten (vertritt, vertrat, hat vertreten);etw.;to represent, to substitute;представляти, заміняти (когось);Ich muss meinen Teamlead heute im Daily-Meeting vertreten.
das Arbeitsmittel, -;das Arbeitsmittel;work equipment, tool;засіб праці, робочий інструмент;Ein leistungsstarker Laptop und zwei Monitore sind meine wichtigsten Arbeitsmittel.
der Arbeitsschutz (Sg.);der Arbeitsschutz;occupational safety, health and safety;охорона праці;Die strengen Regeln zum Arbeitsschutz gelten auch im Serverraum.
etw. befolgen (befolgt, befolgte, hat befolgt);befolgen;to follow, to obey;дотримуватися, виконувати (правила);Wir müssen die Sicherheitsrichtlinien (Security Policies) der Firma strikt befolgen.
etw./jdn. behindern (behindert, behinderte, hat behindert);etw.;to hinder, to obstruct;перешкоджати, заважати;Ein langsamer Server darf den Entwicklungsprozess nicht behindern.
etw. betätigen (z. B. den Brandmelder) (betätigt, betätigte, hat betätigt);betätigen;to operate, to press;приводити в дію, натискати;Im Notfall müssen Sie den roten Knopf betätigen, um den Strom abzuschalten.
der Brandmelder, -;der Brandmelder;fire alarm, smoke detector;пожежний сповіщувач;Der Brandmelder im Rechenzentrum hat wegen Überhitzung Alarm geschlagen.
der Brandschutz (Sg.);der Brandschutz;fire protection;пожежна безпека;Die neuen Server-Racks entsprechen den strengsten Vorgaben für den Brandschutz.
das Brandschutzzeichen, -;das Brandschutzzeichen;fire safety sign;знак пожежної безпеки;Das rote Brandschutzzeichen zeigt, wo der Feuerlöscher im Flur hängt.
dreieckig;dreieckig;triangular;трикутний;Warnschilder sind in Deutschland meistens gelb und dreieckig.
etw. einschlagen (schlägt ein, schlug ein, hat eingeschlagen);einschlagen;to smash, to break in;розбивати (скло);Im Notfall müssen Sie die Glasscheibe einschlagen, um an den Schlüssel zu kommen.
etw. entsorgen (entsorgt, entsorgte, hat entsorgt);entsorgen;to dispose of;утилізувати;Alte Festplatten müssen sicher und datenschutzkonform entsorgt werden.
der Feuerlöscher, -;der Feuerlöscher;fire extinguisher;вогнегасник;Im Serverraum darf man auf keinen Fall einen Wasser-Feuerlöscher benutzen!
der Feuermelder, -;der Feuermelder;fire alarm;пожежна сигналізація;Bei starker Rauchentwicklung löst der Feuermelder sofort aus.
der Flucht- und Rettungsweg, -e;der Flucht- und Rettungsweg;escape and rescue route;шлях евакуації;Der Flucht- und Rettungsweg im IT-Büro darf nie mit Kartons blockiert sein.
etw. freihalten (hält frei, hielt frei, hat freigehalten);freihalten;to keep clear;тримати вільним (прохід);Bitte den Zugang zu den Server-Racks immer freihalten.
das Gebotszeichen, -;das Gebotszeichen;mandatory sign;приписний знак (обов'язкова дія);Das blaue Gebotszeichen bedeutet, dass man im Labor eine Schutzbrille tragen muss.
die Glasscheibe, -n;die Glasscheibe;glass pane;шибка, скляна панель;Hinter der kleinen Glasscheibe befindet sich der Not-Aus-Schalter für den Strom.
hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen);hinweisen auf;to point out, to refer to;вказувати на;Das Monitoring-Tool weist uns auf kritische Speicherprobleme hin.
das Hinweisschild, -er;das Hinweisschild;information sign;інформаційна табличка;Ein Hinweisschild auf dem Gang zeigt den Weg zum IT-Support.
etw. löschen (löscht, löschte, hat gelöscht);löschen;to extinguish (fire), to delete (data);гасити (пожежу), видаляти (дані);Du darfst diese wichtige Datenbank-Tabelle auf keinen Fall löschen!
der Notausgang, "-e;der Notausgang;emergency exit;аварійний вихід;Der Notausgang ist durch ein leuchtend grünes Schild markiert.
die Pflicht, -en;die Pflicht;duty, obligation;обов'язок;Es ist unsere Pflicht, den Code vor dem Release gründlich zu testen.
quadratisch;quadratisch;square;квадратний;Das UI-Icon für die neue App ist quadratisch mit abgerundeten Ecken.
das Rettungszeichen, -;das Rettungszeichen;rescue sign, emergency sign;знак евакуації/порятунку;Rettungszeichen sind meistens grün und rechteckig.
die Schutzausrüstung, -en;die Schutzausrüstung;protective equipment;захисне спорядження;Beim Einbau von schweren Servern braucht man manchmal Schutzausrüstung.
die Schutzbrille, -n;die Schutzbrille;safety goggles;захисні окуляри;Beim Löten der Hardware-Platinen muss man eine Schutzbrille tragen.
etw./jdn. schützen (schützt, schützte, hat geschützt);etw.;to protect;захищати;Eine gut konfigurierte Firewall schützt unser internes Netzwerk vor Hackern.
der Schutzhelm, -e;der Schutzhelm;safety helmet, hard hat;захисний шолом, каска;Auf der Baustelle für das neue Rechenzentrum ist ein Schutzhelm absolute Pflicht.
der Sicherheitshinweis, -e;der Sicherheitshinweis;safety instruction/warning;вказівка щодо безпеки;Bitte lesen Sie den Sicherheitshinweis, bevor Sie den Server aufschrauben.
der Sicherheitsschuh, -e;der Sicherheitsschuh;safety shoe;захисне взуття;Techniker tragen im Data Center oft Sicherheitsschuhe, falls Hardware herunterfällt.
die Sicherheitsvorschrift, -en;die Sicherheitsvorschrift;safety regulation;правило техніки безпеки;Das Mitbringen von privaten USB-Sticks verstößt gegen unsere Sicherheitsvorschriften.
die Stolpergefahr, -en;die Stolpergefahr;tripping hazard;небезпека спотикання;Offene Netzwerkkabel am Boden sind eine große Stolpergefahr im Büro.
die Straßenverkehrsordnung (Sg.);die Straßenverkehrsordnung;traffic regulations;правила дорожнього руху;Die KI für autonome Autos muss die deutsche Straßenverkehrsordnung perfekt kennen.
das Verbotsschild, -er;das Verbotsschild;prohibition sign;заборонний знак;Ein rotes Verbotsschild bedeutet, dass der Zutritt zum Serverraum für Unbefugte verboten ist.
das Verbotszeichen, -;das Verbotszeichen;prohibition sign;заборонний знак;Das Verbotszeichen zeigt an, dass man hier weder essen noch trinken darf.
etw. vermeiden (vermeidet, vermied, hat vermieden);vermeiden;to avoid;уникати;Wir müssen redundanten Code im Projekt unbedingt vermeiden (DRY-Prinzip).
die Verordnung, -en;die Verordnung;regulation, decree;постанова, розпорядження;Die Datenschutz-Grundverordnung (DSGVO) ändert sehr viel für Software-Entwickler.
verpflichtet;verpflichtet;obliged, bound;зобов'язаний;Wir sind vertraglich verpflichtet, alle Benutzerdaten sicher zu verschlüsseln.
etw. verstauen (verstaut, verstaute, hat verstaut);verstauen;to stow, to store;ховати, укладати, зберігати;Ich muss die vielen Kabel ordentlich im Rack verstauen.
das Warnzeichen, -;das Warnzeichen;warning sign;попереджувальний знак;Ein Warnzeichen im Compiler zeigt an, dass dieser Code bald veraltet (deprecated) ist.
der Ablauf, "-e;der Ablauf;process, sequence, flow;процес, хід подій;Wir müssen den Ablauf für das automatisierte Deployment (CI/CD) optimieren.
arbeitsunfähig;arbeitsunfähig;incapable of working, unfit for work;непрацездатний;Wegen einer starken Grippe bin ich diese Woche leider arbeitsunfähig.
ausrutschen (rutscht aus, rutschte aus, ist ausgerutscht);ausrutschen;to slip;посковзнутися;Pass auf, dass du auf dem nassen Boden in der Büroküche nicht ausrutschst.
die Berufsgenossenschaft, -en;die Berufsgenossenschaft;employers' liability insurance association;профспілка страховиків від нещасних випадків на виробництві;Ein Arbeitsunfall muss sofort der Berufsgenossenschaft gemeldet werden.
beteiligt an (+ Dat.);beteiligt an;involved in;причетний до, бере участь у;An diesem großen IT-Projekt sind drei verschiedene Teams beteiligt.
das Detail, -s;das Detail;detail;деталь, подробиця;Wir müssen noch ein kleines technisches Detail in der API-Dokumentation klären.
das Ereignis, -se;das Ereignis;event, occurrence;подія;Das Log-System (wie ELK-Stack) zeichnet jedes wichtige Ereignis im System auf.
glatt;glatt;smooth, slippery;гладкий, слизький;Das neue Design der Benutzeroberfläche (UI) sieht sehr modern und glatt aus.
das Kabel, -;das Kabel;cable, wire;кабель, провід;Das Netzwerkkabel am Router ist leider defekt und muss getauscht werden.
sich (etw.) quetschen (quetscht sich, quetschte sich, hat sich gequetscht);sich quetschen;to squeeze, to bruise (oneself);защемити (собі щось), прищемити;Er hat sich beim Einbauen des schweren Servers den Finger gequetscht.
Ruhe bewahren;Ruhe bewahren;to keep calm;зберігати спокій;Wenn der Produktions-Server abstürzt, müssen wir als DevOps-Team Ruhe bewahren.
rutschig;rutschig;slippery;слизький;Vorsicht, der frisch gewischte Boden vor dem Büro ist sehr rutschig.
sachlich;sachlich;factual, objective;об'єктивний, предметний;Die Diskussion beim Code Review sollte immer sachlich und professionell bleiben.
der Schaden, "-;der Schaden;damage, harm;шкода, збиток;Ein Hackerangriff kann einen enormen finanziellen Schaden verursachen.
etw. schildern (schildert, schilderte, hat geschildert);schildern;to describe, to depict;описувати, змальовувати;Können Sie den Software-Fehler genauer schildern, damit ich ihn reproduzieren kann?
der Schlauch, "-e;der Schlauch;hose, tube;шланг;Die Server-Wasserkühlung braucht dringend einen neuen Schlauch.
stolpern;stolpern;to stumble, to trip;спотикатися;Jemand könnte über dieses herumliegende Stromkabel stolpern.
sich (etw.) verbrennen (verbrennt, verbrannte, hat verbrannt);sich verbrennen;to burn (oneself);обпектися;Die CPU wird unter Last extrem heiß, pass auf, dass du dich nicht verbrennst.
das Verhalten (Sg.);das Verhalten;behavior;поведінка;Wir analysieren das Verhalten der User auf unserer neuen Web-Plattform.
die Vorsichtsmaßnahme, -n;die Vorsichtsmaßnahme;precaution, precautionary measure;запобіжний захід;Regelmäßige Backups in der Cloud sind eine sehr wichtige Vorsichtsmaßnahme.
der Zeuge, -n / die Zeugin, -nen;der Zeuge;witness;свідок;Er war leider Zeuge des Arbeitsunfalls im Rechenzentrum.
etw. behaupten (behauptet, behauptete, hat behauptet);behaupten;to claim, to assert;стверджувати;Der Entwickler behauptet, dass dieser bug in der neuen Version bereits gefixt ist.
etw./jdn. beobachten;etw.;to observe, to monitor;спостерігати, стежити;Wir beobachten die Ladezeiten der App genau, um sie zu optimieren.
entscheidend;entscheidend;crucial, decisive;вирішальний;Eine saubere Software-Architektur ist entscheidend für den langfristigen Erfolg.
die Geldsorgen (Pl.);die Geldsorgen;money worries, financial problems;фінансові проблеми;Als gefragter Senior Developer in Deutschland hat man meistens keine Geldsorgen.
gemütlich;gemütlich;comfortable, cozy;затишний, комфортний;Unser neues IT-Büro hat eine sehr gemütliche Lounge für die Pausen.
die Geselligkeit (Sg.);die Geselligkeit;sociability, conviviality;товариськість, компанійність;Nach einem erfolgreichen Release pflegen wir die Geselligkeit bei einem Team-Event (Pizza & Bier).
